Tên sản phẩm,Giá,Link sản phẩm,Hình ảnh
For Her EDP,3.650.000 ₫ 2.080.000 ₫,https://orchard.vn/san-pham/narciso-rodriguez-for-her/,https://orchard.vn/wp-content/uploads/2015/01/narciso-rodriguez-for-her_1-300x300.jpg
Bloom EDP,4.390.000 ₫ 2.280.000 ₫,https://orchard.vn/san-pham/gucci-bloom/,https://orchard.vn/wp-content/uploads/2017/09/gucci-bloom-edp_1-300x300.jpg
Libre EDP,3.600.000 ₫ 3.180.000 ₫,https://orchard.vn/san-pham/yves-saint-laurent-libre-edp/,https://orchard.vn/wp-content/uploads/2019/11/yves-saint-laurent-libre-edp_1-300x300.jpg
Libre EDP Intense,3.750.000 ₫ 3.280.000 ₫,https://orchard.vn/san-pham/yves-saint-laurent-libre-intense-edp/,https://orchard.vn/wp-content/uploads/2024/08/yves-saint-laurent-libre-intense-edp_1-300x300.jpg
Libre Le Parfum EDP,2.550.000 ₫ 2.080.000 ₫,https://orchard.vn/san-pham/yves-saint-laurent-libre-le-parfum/,https://orchard.vn/wp-content/uploads/2024/07/yves-saint-laurent-libre-le-parfum_1-300x300.jpg
Bright Crystal EDT,2.706.000 ₫ 1.580.000 ₫,https://orchard.vn/san-pham/versace-bright-crystal/,https://orchard.vn/wp-content/uploads/2014/06/versace-bright-crystal_1-300x300.jpg
Bright Crystal Absolu EDP,2.990.000 ₫ 1.680.000 ₫,https://orchard.vn/san-pham/versace-bright-crystal-absolu/,https://orchard.vn/wp-content/uploads/2024/02/versace-bright-crystal-absolu_1-300x300.jpg
Club De Nuit Woman EDP,1.580.000 ₫ 780.000 ₫,https://orchard.vn/san-pham/armaf-club-de-nuit-woman-edp/,https://orchard.vn/wp-content/uploads/2018/08/armaf-club-de-nuit-women_1-300x300.jpg
Coco Mademoiselle EDP,5.000.000 ₫ 4.280.000 ₫,https://orchard.vn/san-pham/chanel-coco-mademoiselle-edp/,https://orchard.vn/wp-content/uploads/2014/06/chanel-coco-mademoiselle_1-300x300.jpg
Coco Mademoiselle EDP Intense,4.790.000 ₫ 4.380.000 ₫,https://orchard.vn/san-pham/chanel-coco-mademoiselle-intense-edp/,https://orchard.vn/wp-content/uploads/2018/03/chanel-coco-mademoiselle-intense-edp_1-300x300.jpg
J’adore EDP,4.000.000 ₫ 3.480.000 ₫,https://orchard.vn/san-pham/dior-jadore/,https://orchard.vn/wp-content/uploads/2014/06/dior-jadore-edp_1-1-300x300.jpg
J’adore Infinissime EDP,3.690.000 ₫ 3.380.000 ₫,https://orchard.vn/san-pham/dior-jadore-infinissime-edp/,https://orchard.vn/wp-content/uploads/2020/07/dior-jadore-infinissime-edp_1-300x300.jpg
J’adore Parfum d’Eau,4.299.999 ₫ 3.580.000 ₫,https://orchard.vn/san-pham/dior-jadore-parfum-deau/,https://orchard.vn/wp-content/uploads/2024/07/dior-jadore-parfum-d-eau-edp_1-300x300.jpg
Miss Dior EDP,4.000.000 ₫ 3.780.000 ₫,https://orchard.vn/san-pham/dior-miss-dior-edp-2021/,https://orchard.vn/wp-content/uploads/2021/12/dior-miss-dior-edp-2021_1-300x300.jpg
Miss Dior Parfum,5.250.000 ₫ 3.980.000 ₫,https://orchard.vn/san-pham/dior-miss-dior-parfum/,https://orchard.vn/wp-content/uploads/2024/07/dior-miss-dior-parfum_1-300x300.jpg
Miss Dior Blooming Bouquet EDT,3.800.000 ₫ 3.780.000 ₫,https://orchard.vn/san-pham/dior-miss-dior-blooming-bouquet/,https://orchard.vn/wp-content/uploads/2024/07/dior-miss-dior-blooming-bouquet_1-300x300.jpg
Cool Water Woman EDT,2.090.000 ₫ 780.000 ₫,https://orchard.vn/san-pham/davidoff-cool-water-woman/,https://orchard.vn/wp-content/uploads/2024/07/davidoff-cool-water-woman_1-300x300.jpg
Dolce & Gabbana Light Blue Eau Intense EDP,2.838.000 ₫ 1.980.000 ₫,https://orchard.vn/san-pham/dolce-gabbana-light-blue-eau-intense-edp-for-women/,https://orchard.vn/wp-content/uploads/2019/07/dolce-gabbana-light-blue-eau-intense-for-women_1-300x300.jpg
Light Blue EDT,2.690.000 ₫ 1.680.000 ₫,https://orchard.vn/san-pham/dolce-and-gabbana-light-blue-for-women/,https://orchard.vn/wp-content/uploads/2024/08/dolce-and-gabbana-light-blue-edt_1-300x300.jpg
Love Story EDP,3.940.000 ₫ 1.980.000 ₫,https://orchard.vn/san-pham/chloe-love-story-for-women/,https://orchard.vn/wp-content/uploads/2014/12/chloe-love-story_1-300x300.jpg
Nomade EDP,2.850.000 ₫ 1.980.000 ₫,https://orchard.vn/san-pham/chloe-nomade/,https://orchard.vn/wp-content/uploads/2024/07/chloe-nomade-edp_1-300x300.jpg
Daisy EDT,2.390.000 ₫ 1.580.000 ₫,https://orchard.vn/san-pham/marc-jacobs-daisy/,https://orchard.vn/wp-content/uploads/2024/07/marc-jacob-daisy_1-300x300.jpg
Daisy Dream EDT,3.240.000 ₫ 1.680.000 ₫,https://orchard.vn/san-pham/marc-jacobs-daisy-dream/,https://orchard.vn/wp-content/uploads/2014/11/marc-jacobs-daisy-dream-edt_1_updated.jpg
Daisy Love EDT,2.680.000 ₫ 1.680.000 ₫,https://orchard.vn/san-pham/marc-jacobs-daisy-love/,https://orchard.vn/wp-content/uploads/2024/07/marc-jacobs-daisy-love_1-300x300.jpg
Good Girl EDP,3.450.000 ₫ 2.480.000 ₫,https://orchard.vn/san-pham/carolina-herrera-good-girl/,https://orchard.vn/wp-content/uploads/2016/10/carolina-herrera-good-girl_1-300x300.jpg
For Her Pure Musc EDP,3.650.000 ₫ 2.580.000 ₫,https://orchard.vn/san-pham/narciso-rodriguez-pure-musc-for-her-edp/,https://orchard.vn/wp-content/uploads/2019/03/narciso-rodriguez-for-her-pure-musc_1-300x300.jpg
For Her Fleur Musc EDP,3.500.000 ₫ 2.080.000 ₫,https://orchard.vn/san-pham/narciso-rodriguez-for-her-fleur-musc/,https://orchard.vn/wp-content/uploads/2024/08/narciso-rodriguez-fleur-musc-for-her-edp_1-300x300.jpg
For Her Musc Noir Rose EDP,3.450.000 ₫ 2.080.000 ₫,https://orchard.vn/san-pham/narciso-rodriguez-musc-noir-rose-for-her-edp/,https://orchard.vn/wp-content/uploads/2024/07/narciso-rodriguez-for-her-musc-noir-rose_1-300x300.jpg
Bloom Ambrosia Di Fiori EDP,4.600.000 ₫ 2.480.000 ₫,https://orchard.vn/san-pham/gucci-bloom-ambrosia-di-fiori-edp/,https://orchard.vn/wp-content/uploads/2024/08/gucci-bloom-ambrosia-di-fiori-edp_1-300x300.jpg
Flora Gorgeous Gardenia EDP,4.100.000 ₫ 2.480.000 ₫,https://orchard.vn/san-pham/gucci-flora-gorgeous-gardenia-edp/,https://orchard.vn/wp-content/uploads/2022/01/gucci-flora-gorgeous-gardenia_1-300x300.jpg
Idôle EDP,3.790.000 ₫ 2.580.000 ₫,https://orchard.vn/san-pham/lancome-idole/,https://orchard.vn/wp-content/uploads/2019/10/lancome-idole_1-300x300.png
La Vie Est Belle EDP,3.600.000 ₫ 2.580.000 ₫,https://orchard.vn/san-pham/lancome-la-vie-est-belle/,https://orchard.vn/wp-content/uploads/2014/07/lancome-la-vie-est-belle_1-300x300.jpg
Miracle EDP,3.400.000 ₫ 1.980.000 ₫,https://orchard.vn/san-pham/lancome-miracle/,https://orchard.vn/wp-content/uploads/2014/06/lancome-miracle_1-300x300.jpg
Trésor La Nuit EDP,3.600.000 ₫ 2.980.000 ₫,https://orchard.vn/san-pham/lancome-tresor-la-nuit/,https://orchard.vn/wp-content/uploads/2024/07/lancome-la-nuit-tresor-edp_1-300x300.jpg
Trésor EDP,4.200.000 ₫ 2.580.000 ₫,https://orchard.vn/san-pham/lancome-tresor/,https://orchard.vn/wp-content/uploads/2014/06/lancome-tresor-new_1-300x300.jpg
Signature EDP,2.850.000 ₫ 1.480.000 ₫,https://orchard.vn/san-pham/montblanc-signature/,https://orchard.vn/wp-content/uploads/2021/06/montblanc-signature-edp_1-300x300.jpg
Black Opium EDP,4.200.000 ₫ 3.080.000 ₫,https://orchard.vn/san-pham/yves-saint-laurent-black-opium/,https://orchard.vn/wp-content/uploads/2016/09/yves-saint-laurent-black-opium-edp_1-300x300.jpg
L’Ambre Des Merveilles EDP,3.600.000 ₫ 2.980.000 ₫,https://orchard.vn/san-pham/hermes-lambre-des-merveilles-edp/,https://orchard.vn/wp-content/uploads/2024/07/hermes-l-ambre-des-merveilles-edp_1-300x300.jpg
Scandal EDP,3.490.000 ₫ 2.180.000 ₫,https://orchard.vn/san-pham/jean-paul-gaultier-scandal/,https://orchard.vn/wp-content/uploads/2024/07/jean-paul-gaultier-scandal_1-300x300.jpg
So Scandal EDP,3.500.000 ₫ 2.680.000 ₫,https://orchard.vn/san-pham/jean-paul-gaultier-so-scandal-edp/,https://orchard.vn/wp-content/uploads/2020/09/jean-paul-gaultier-so-scandal_1-300x300.jpg
Scandal Le Parfum EDP Intense,4.270.000 ₫ 2.780.000 ₫,https://orchard.vn/san-pham/jean-paul-gaultier-scandal-le-parfum/,https://orchard.vn/wp-content/uploads/2024/08/jean-paul-gaultier-scandal-le-parfum_1-300x300.jpg
Delina EDP,6.690.000 ₫ 5.380.000 ₫,https://orchard.vn/san-pham/parfums-de-marly-delina-for-women/,https://orchard.vn/wp-content/uploads/2023/08/parfums-de-marly-delina_1-300x300.jpg
English Pear & Freesia Cologne,4.000.000 ₫ 2.780.000 ₫,https://orchard.vn/san-pham/jo-malone-english-pear-and-freesia-cologne/,https://orchard.vn/wp-content/uploads/2020/07/jo-malone-english-pear-freesia-cologne_1-300x300.jpg
Peony & Blush Suede Cologne,4.000.000 ₫ 2.980.000 ₫,https://orchard.vn/san-pham/jo-malone-peony-blush-suede/,https://orchard.vn/wp-content/uploads/2024/07/jo-malone-london-peony-and-blush-suede-cologne_1-300x300.jpg
Good Girl Gone Bad EDP (with Coffret),7.390.000 ₫ 5.980.000 ₫,https://orchard.vn/san-pham/kilian-good-girl-gone-bad/,https://orchard.vn/wp-content/uploads/2023/08/kilian-good-girl-gone-bad_2-300x300.jpg
Black Phantom EDP,7.350.000 ₫ 5.480.000 ₫,https://orchard.vn/san-pham/kilian-black-phantom/,https://orchard.vn/wp-content/uploads/2019/08/kilian-black-phantom_1-300x300.jpg
Maison Francis Kurkdjian Baccarat Rouge 540 Extrait De Parfum,11.900.000 ₫ 9.980.000 ₫,https://orchard.vn/san-pham/maison-francis-kurkdjian-baccarat-rouge-540-extrait-de-parfum/,https://orchard.vn/wp-content/uploads/2023/08/maison-francis-kurkdjian-baccarat-rouge-540-extrait-de-parfum_1-300x300.jpg
Maison Francis Kurkdjian Baccarat Rouge 540 EDP,7.500.000 ₫ 6.680.000 ₫,https://orchard.vn/san-pham/maison-francis-kurkdjian-paris-baccarat-rouge-540/,https://orchard.vn/wp-content/uploads/2019/09/maison-francis-kurkdjian-baccarat-rouge-540-edp_1-300x300.jpg
CK One EDT,1.760.000 ₫ 580.000 ₫,https://orchard.vn/san-pham/calvin-klein-ck-one/,https://orchard.vn/wp-content/uploads/2014/06/calvin-klein-ck-one_1-1-300x300.jpg
CK Be EDT,1.740.000 ₫ 580.000 ₫,https://orchard.vn/san-pham/calvin-klein-ck-be/,https://orchard.vn/wp-content/uploads/2014/06/calvin-klein-ck-be_1-2-300x300.jpg
Donna EDP,3.500.000 ₫ 2.380.000 ₫,https://orchard.vn/san-pham/valentino-donna-edp/,https://orchard.vn/wp-content/uploads/2016/09/valentino-donna_1-300x300.jpg
Donna Born in Roma EDP,3.550.000 ₫ 2.580.000 ₫,https://orchard.vn/san-pham/valentino-donna-born-in-roma-edp/,https://orchard.vn/wp-content/uploads/2024/07/valentino-donna-born-in-roma-edp_1-300x300.jpg
Victoria’s Secret Very Sexy 2018 EDP,2.600.000 ₫ 1.780.000 ₫,https://orchard.vn/san-pham/victorias-secret-very-sexy-2018/,https://orchard.vn/wp-content/uploads/2018/10/victorias-secret-very-sexy-2018_1-300x300.jpg
Omnia Amethyste EDT,2.850.000 ₫ 2.380.000 ₫,https://orchard.vn/san-pham/bvlgari-omnia-amethyste/,https://orchard.vn/wp-content/uploads/2014/06/bvlgari-omnia-amethyste_1-300x300.jpg
Omnia Crystalline EDT,2.500.000 ₫ 1.980.000 ₫,https://orchard.vn/san-pham/bvlgari-omnia-crystalline/,https://orchard.vn/wp-content/uploads/2024/07/bvlgari-omnia-crystalline-edt_1-300x300.jpg
Another 13 EDP,8.200.000 ₫ 7.880.000 ₫,https://orchard.vn/san-pham/le-labo-another-13/,https://orchard.vn/wp-content/uploads/2019/08/le-labo-another-13_1-300x300.jpg
Santal 33 EDP,7.300.000 ₫ 6.680.000 ₫,https://orchard.vn/san-pham/le-labo-santal-33/,https://orchard.vn/wp-content/uploads/2024/07/le-labo-santal-33_1-300x300.jpg
Replica Jazz Club EDT,3.500.000 ₫ 2.480.000 ₫,https://orchard.vn/san-pham/maison-margiela-replica-jazz-club-edt/,https://orchard.vn/wp-content/uploads/2020/02/maison-margiela-replica-jazz-club_1-300x300.jpg
Portrait of a Lady EDP,7.300.000 ₫ 6.680.000 ₫,https://orchard.vn/san-pham/frederic-malle-portrait-of-a-lady/,https://orchard.vn/wp-content/uploads/2024/06/frederic-malle-portrait-of-a-lady_1-300x300.jpg
Fleur De Peau EDP,4.500.000 ₫ 4.180.000 ₫,https://orchard.vn/san-pham/diptyque-fleur-de-peau/,https://orchard.vn/wp-content/uploads/2024/06/diptyque-fleur-de-peau-edp_1-300x300.jpg
Angels’ Share EDP,5.800.000 ₫ 4.280.000 ₫,https://orchard.vn/san-pham/kilian-angels-share-by-kilian-edp/,https://orchard.vn/wp-content/uploads/2020/11/kilian-angels-share_1-300x300.jpg
Black Orchid EDP,4.250.000 ₫ 3.580.000 ₫,https://orchard.vn/san-pham/tom-ford-black-orchid/,https://orchard.vn/wp-content/uploads/2023/08/tom-ford-oud-wood_1-300x300.jpg
Black Orchid Parfum,4.500.000 ₫ 4.180.000 ₫,https://orchard.vn/san-pham/tom-ford-black-orchid-parfum/,https://orchard.vn/wp-content/uploads/2024/08/tom-ford-black-orchid-parfum_1-300x300.jpg
Ombré Leather EDP,4.850.000 ₫ 3.780.000 ₫,https://orchard.vn/san-pham/tom-ford-ombre-leather/,https://orchard.vn/wp-content/uploads/2023/08/tom-ford-ombre-leather_1-300x300.jpg
Lost Cherry EDP,7.500.000 ₫ 5.780.000 ₫,https://orchard.vn/san-pham/tom-ford-lost-cherry/,https://orchard.vn/wp-content/uploads/2018/12/tom-ford-lost-cherry_1-300x300.jpg
Oud Wood EDP,6.900.000 ₫ 5.980.000 ₫,https://orchard.vn/san-pham/tom-ford-oud-wood/,https://orchard.vn/wp-content/uploads/2018/08/tom-ford-oud-wood_1-300x300.jpg
Tobacco Vanille EDP,9.850.000 ₫ 7.580.000 ₫,https://orchard.vn/san-pham/tomford-tobacco-vanille-edp/,https://orchard.vn/wp-content/uploads/2019/12/tom-ford-tobacco-vanille_1-300x300.jpg
Aventus For Her EDP,8.200.000 ₫ 5.680.000 ₫,https://orchard.vn/san-pham/creed-aventus-for-her/,https://orchard.vn/wp-content/uploads/2024/07/creed-aventus-for-her_1-300x300.jpg
Narciso Eau de Parfum Ambrée,3.600.000 ₫ 2.280.000 ₫,https://orchard.vn/san-pham/narciso-rodriguez-narciso-eau-de-parfum-ambree/,https://orchard.vn/wp-content/uploads/2024/07/narciso-rodriguez-narciso-ambree_1-300x300.jpg
Narciso Eau de Parfum Poudrée,3.500.000 ₫ 2.280.000 ₫,https://orchard.vn/san-pham/narciso-rodriguez-narciso-poudree/,https://orchard.vn/wp-content/uploads/2016/05/narciso-rodriguez-poudree_1-300x300.jpg
No 4 Après l’Amour EDP,4.350.000 ₫ 2.580.000 ₫,https://orchard.vn/san-pham/thomas-kosmala-no-4-apres-lamour/,https://orchard.vn/wp-content/uploads/2022/05/thomas-kosmala-no-4-apres-lamour-edp_1-300x300.jpg
Chance Eau Tendre EDP,4.600.000 ₫ 4.380.000 ₫,https://orchard.vn/san-pham/chanel-chance-eau-tendre-edp/,https://orchard.vn/wp-content/uploads/2019/02/chanel-chance-eau-tendre-edp_1-fix-300x300.jpg
Chance Eau Fraiche EDP,5.555.000 ₫ 4.380.000 ₫,https://orchard.vn/san-pham/chanel-chance-eau-fraiche-edp/,https://orchard.vn/wp-content/uploads/2024/07/chanel-chance-eau-fraiche-edp_1-300x300.jpg
Chance Eau Fraiche EDT,4.380.000 ₫ 3.980.000 ₫,https://orchard.vn/san-pham/chanel-chance-eau-fraiche/,https://orchard.vn/wp-content/uploads/2024/08/chanel-chance-eau-fraiche-edt_1-300x300.jpg
Gabrielle EDP,4.400.000 ₫ 3.980.000 ₫,https://orchard.vn/san-pham/chanel-gabrielle-for-women/,https://orchard.vn/wp-content/uploads/2017/09/chanel-gabrielle_1-300x300.jpg
Chance EDP,5.500.000 ₫ 4.180.000 ₫,https://orchard.vn/san-pham/chanel-chance-edp/,https://orchard.vn/wp-content/uploads/2019/02/chanel-chance-edp_1-300x300.jpg
Gabrielle Essence EDP,4.650.000 ₫ 4.080.000 ₫,https://orchard.vn/san-pham/chanel-gabrielle-essence-edp/,https://orchard.vn/wp-content/uploads/2024/08/chanel-gabrielle-essence-edp_1-300x300.jpg
Guilty Pour Femme EDP,3.290.000 ₫ 2.580.000 ₫,https://orchard.vn/san-pham/gucci-guilty-pour-femme-edp/,https://orchard.vn/wp-content/uploads/2024/08/gucci-guilty-pour-femme-edp_1-300x300.jpg
Guilty Pour Femme EDP Intense,3.800.000 ₫ 2.680.000 ₫,https://orchard.vn/san-pham/gucci-guilty-intense-pour-femme/,https://orchard.vn/wp-content/uploads/2024/07/gucci-guilty-intense-pour-femme_1-300x300.jpg
Guilty Black Pour Femme EDT,2.850.000 ₫ 2.480.000 ₫,https://orchard.vn/san-pham/gucci-guilty-black-pour-femme/,https://orchard.vn/wp-content/uploads/2024/08/gucci-guilty-black-pour-femme-edt_1-300x300.jpg
Toy 2 Bubble Gum EDT,2.255.000 ₫ 1.280.000 ₫,https://orchard.vn/san-pham/moschino-toy-2-bubble-gum/,https://orchard.vn/wp-content/uploads/2024/07/moschino-toy-2-bubble-gum_1-300x300.jpg
Toy 2 EDP,2.255.000 ₫ 1.480.000 ₫,https://orchard.vn/san-pham/moschino-toy-2-edp/,https://orchard.vn/wp-content/uploads/2024/07/moschino-toy-2_1-300x300.jpg
No 5 EDP,4.600.000 ₫ 4.280.000 ₫,https://orchard.vn/san-pham/chanel-no-5-edp/,https://orchard.vn/wp-content/uploads/2014/06/chanel-no5-edp_1-300x300.jpg
Dylan Blue Pour Femme,2.990.000 ₫ 1.980.000 ₫,https://orchard.vn/san-pham/versace-dylan-blue-pour-femme/,https://orchard.vn/wp-content/uploads/2024/07/versace-dylan-blue-pour-femme-edp_1-300x300.jpg
Acqua Di Gioia EDP,2.850.000 ₫ 2.280.000 ₫,https://orchard.vn/san-pham/giorgio-armani-acqua-di-gioia/,https://orchard.vn/wp-content/uploads/2024/07/giorgio-armani-acqua-di-gioia_1-300x300.jpg
Coco Noir EDP,4.500.000 ₫ 4.380.000 ₫,https://orchard.vn/san-pham/chanel-coco-noir/,https://orchard.vn/wp-content/uploads/2024/07/chanel-coco-noir_1-300x300.jpg
Flower EDP,2.800.000 ₫ 1.780.000 ₫,https://orchard.vn/san-pham/kenzo-flower-edp/,https://orchard.vn/wp-content/uploads/2024/07/kenzo-flower_1-300x300.jpg
White Tea EDT,1.800.000 ₫ 780.000 ₫,https://orchard.vn/san-pham/elizabeth-arden-white-tea/,https://orchard.vn/wp-content/uploads/2017/08/elizabeth-arden-white-tea_2-300x300.jpg
Green Tea EDT,1.360.000 ₫ 580.000 ₫,https://orchard.vn/san-pham/elizabeth-arden-green-tea/,https://orchard.vn/wp-content/uploads/2024/07/elizabeth-arden-green-tea-edt_1-300x300.jpg
Alien EDP,3.200.000 ₫ 2.480.000 ₫,https://orchard.vn/san-pham/thierry-mugler-alien-for-women/,https://orchard.vn/wp-content/uploads/2024/08/thierry-mugler-alien-edp_1-300x300.jpg
Valentina EDP,3.100.000 ₫ 2.080.000 ₫,https://orchard.vn/san-pham/valentino-valentina-for-women/,https://orchard.vn/wp-content/uploads/2024/08/valentino-valentina-edp_1-300x300.jpg
Tommy Girl EDT,1.840.000 ₫ 1.080.000 ₫,https://orchard.vn/san-pham/tommy-hilfiger-tommy-girl/,https://orchard.vn/wp-content/uploads/2024/08/tommy-hilfiger-tommy-girl_1-300x300.jpg
Euphoria For Women EDP,2.940.000 ₫ 1.380.000 ₫,https://orchard.vn/san-pham/calvin-klein-euphoria-for-women/,https://orchard.vn/wp-content/uploads/2014/06/calvin-klein-euphoria-edp_1_new-300x300.jpg
EDP,2.680.000 ₫ 1.580.000 ₫,https://orchard.vn/san-pham/mcm-edp/,https://orchard.vn/wp-content/uploads/2024/07/mcm-edp_1-300x300.jpg
Yellow Diamond EDT,2.400.000 ₫ 1.480.000 ₫,https://orchard.vn/san-pham/versace-yellow-diamond/,https://orchard.vn/wp-content/uploads/2024/07/versace-yellow-diamond_1-300x300.jpg
Joy EDP,4.000.000 ₫ 2.880.000 ₫,https://orchard.vn/san-pham/dior-joy/,https://orchard.vn/wp-content/uploads/2024/07/dior-joy-edp_1-300x300.jpg
Her EDP,3.890.000 ₫ 2.280.000 ₫,https://orchard.vn/san-pham/burberry-her-edp/,https://orchard.vn/wp-content/uploads/2019/12/burberry-her_1-300x300.jpg
Trésor Midnight Rose EDP,2.800.000 ₫ 1.380.000 ₫,https://orchard.vn/san-pham/lancome-tresor-midnight-rose/,https://orchard.vn/wp-content/uploads/2024/07/lancome-tresor-midnight-rose_1-300x300.jpg
Trésor In Love EDP,3.000.000 ₫ 2.480.000 ₫,https://orchard.vn/san-pham/lancome-tresor-in-love/,https://orchard.vn/wp-content/uploads/2024/07/lancome-tresor-in-love_1-300x300.jpg
Hypnôse EDP,3.200.000 ₫ 2.580.000 ₫,https://orchard.vn/san-pham/lancome-hypnose-pour-femme/,https://orchard.vn/wp-content/uploads/2014/06/lancome-hypnose_1-300x300.jpg
London For Women EDP,2.300.000 ₫ 1.280.000 ₫,https://orchard.vn/san-pham/burberry-london-for-women/,https://orchard.vn/wp-content/uploads/2024/07/burberry-london-for-women_1-300x300.jpg
Donna EDP,2.651.000 ₫ 1.280.000 ₫,https://orchard.vn/san-pham/trussardi-donna/,https://orchard.vn/wp-content/uploads/2024/08/trussardi-donna-edp_1-300x300.jpg
Cedrat Boise EDP,3.200.000 ₫ 2.080.000 ₫,https://orchard.vn/san-pham/mancera-cedrat-boise/,https://orchard.vn/wp-content/uploads/2024/08/mancera-paris-cedrat-boise-edp_1-300x300.jpg
